SrcBytes,SIntPktMax,Proto_arp,Proto_icmp,Proto_ipv6-icmp,Proto_tcp,Proto_udp,State_CLO,State_CON,State_ECO,State_FIN,State_INT,State_NRS,State_REQ,State_RST,State_TST,State_URH,State_URHPRO
9120,908.8759,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6120,811.46405,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
735,30030.79,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6120,808.257,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
774,15340.91,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
85,6.0221373e-05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
85,96921.79,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6120,911.84015,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
242,53247.93,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7735,198.338,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2473,22695.543,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
519,9999.394,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1264,203.67357,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
666,15234.633,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6120,802.003,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
167,49720.867,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
774,27596.176,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
828,103.34237,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
120,0.7305,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1282,1003.91046,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6120,901.2427,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5429,2982.445,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2887,2819.973,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6120,831.699,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
18659,778.778,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9974,17209.502,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7489,26181.607,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
670,11136.455,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1110,13608.292,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2869,21921.74,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2887,2317.208,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
552,59205.258,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2428,22574.627,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
774,1.0927181,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2929,2569.329,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
5998,59016.668,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
172,23424.451,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3326,34538.668,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
261,53248.28,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
540,39970.895,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
774,15468.244,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5987,59017.39,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2929,2220.468,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6120,829.4031,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
774,19107.545,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1274,1005.673,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
860,7041.236,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1518,23925.783,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2871,2612.9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6060,1435.589,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4134,6655.32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
683,12158.835,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3313,2414.078,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6120,898.1064,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5995,59016.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14644,994.123,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6060,1311.385,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
16239,43065.02,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
60,88960.05,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
830,132.57582,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1284,1004.896,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6232,29008.584,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
255,53248.168,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4932,55349.992,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6120,811.59796,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6120,848.293,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
518,28928.664,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
