SrcBytes,SIntPktMax,Proto_arp,Proto_icmp,Proto_ipv6-icmp,Proto_tcp,Proto_udp,State_CLO,State_CON,State_ECO,State_FIN,State_INT,State_NRS,State_REQ,State_RST,State_TST,State_URH,State_URHPRO
9120,908.803,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6120,811.46405,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
735,30030.736,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6120,808.25696,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
775,15340.748,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
85,3.9843653e-05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
85,96921.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6120,911.84,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
242,53247.93,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7735,198.338,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2473,22695.594,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
519,9999.394,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1264,203.61354,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
666,15234.594,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6120,802.003,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
167,49720.867,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
774,27596.312,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
828,103.1986,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
120,0.7305,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1282,1003.9375,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6120,901.14795,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5429,2982.445,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2887,2819.9885,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6120,831.699,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
18659,778.778,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9974,17209.502,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7489,26181.607,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
670,11136.455,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1110,13608.241,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2869,21921.664,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2887,2317.2407,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
552,59205.258,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2428,22574.695,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
774,1.3460001,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2929,2569.2788,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
12128,1069.184,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
172,23424.45,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3326,34538.625,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
261,53248.22,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
540,39970.895,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
775,15468.135,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7481,34014.258,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2929,2220.5178,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6120,829.40295,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
775,19107.47,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1274,1005.64087,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
860,7041.236,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1518,23925.865,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2871,2612.854,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6060,1435.589,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4134,6655.2935,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
683,12158.835,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3313,2414.0554,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6120,898.15967,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7489,29008.623,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
14644,994.123,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6060,1311.3849,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
16239,43065.02,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
60,88960.05,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
830,132.92429,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
