SrcBytes,SIntPktMax,Proto_arp,Proto_icmp,Proto_ipv6-icmp,Proto_tcp,Proto_udp,State_CLO,State_CON,State_ECO,State_FIN,State_INT,State_NRS,State_REQ,State_RST,State_TST,State_URH,State_URHPRO
9120,908.37585,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6120,811.8913,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
735,30031.035,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6120,808.6833,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
775,15340.604,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
85,0.27647305,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
85,96921.54,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6120,911.492,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
242,53247.547,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7735,198.338,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2473,22696.113,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
828,19370.166,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1264,203.35744,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
666,15234.637,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6120,802.17737,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
167,49720.457,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
775,27596.406,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
828,102.99009,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
120,1.1758478,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1282,1003.4797,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6120,901.7649,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5429,2982.445,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2887,2820.0996,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6120,831.6333,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
18659,778.778,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9974,17209.502,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7489,26181.607,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
670,11136.807,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1110,13608.006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2869,21922.096,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2887,2317.385,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
552,59205.258,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2428,22574.68,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
775,1.4890685,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2929,2569.5315,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
56470,64425.797,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
172,23424.895,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3326,34538.258,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
261,53248.676,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
98,40177.582,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
775,15468.244,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7481,34014.258,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2929,2220.1953,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6121,829.88556,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
775,19107.055,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1274,1005.6952,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
860,7040.9707,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1518,23925.605,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2871,2613.3193,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
