SrcBytes,SIntPktMax,Proto_arp,Proto_icmp,Proto_ipv6-icmp,Proto_tcp,Proto_udp,State_CLO,State_CON,State_ECO,State_FIN,State_INT,State_NRS,State_REQ,State_RST,State_TST,State_URH,State_URHPRO
9120,909.09784,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6120,811.72943,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
735,30030.344,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6120,808.5474,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
775,15341.222,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85,0.3247761,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
84,96922.29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6120,911.9705,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
242,53247.492,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7735,198.338,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2473,22695.344,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
519,9999.394,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1264,204.05493,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
666,15234.543,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6120,801.907,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
166,49720.367,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
773,27596.127,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
828,103.061386,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,1.5095894,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1282,1003.5248,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6120,900.8641,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5429,2982.445,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2887,2819.9272,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6120,831.4969,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
18659,778.778,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9974,17209.502,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7489,26181.607,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
670,11136.104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1110,13608.463,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2869,21922.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2887,2317.3042,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
552,59205.258,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2428,22574.43,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
775,0.9323694,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2929,2569.6614,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12128,1069.184,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
172,23424.879,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3326,34538.273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
261,53248.227,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
540,39970.895,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
774,15468.604,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7481,34014.258,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2929,2220.8672,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6120,829.1444,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
774,19107.047,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
