SrcBytes,SIntPktMax,Proto_arp,Proto_icmp,Proto_ipv6-icmp,Proto_tcp,Proto_udp,State_CLO,State_CON,State_ECO,State_FIN,State_INT,State_NRS,State_REQ,State_RST,State_TST,State_URH,State_URHPRO
9120,908.803,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6120,811.464,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
735,30030.772,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6120,808.257,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
774,15340.91,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
85,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
85,96921.792,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6120,911.84,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
242,53247.968,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7735,198.338,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2473,22695.542,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
519,9999.394,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1264,203.628,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
666,15234.606,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6120,802.003,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
167,49720.864,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
774,27596.176,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
828,103.309,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
120,1.081,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1282,1003.907,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6120,901.194,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5429,2982.445,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2887,2819.973,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6120,831.699,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
18659,778.778,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9974,17209.502,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7489,26181.608,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
670,11136.455,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1110,13608.26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2869,21921.672,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2887,2317.208,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
552,59205.256,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2428,22574.666,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
774,1.134,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2929,2569.329,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
12128,1069.184,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
172,23424.452,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3326,34538.632,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
261,53248.248,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
540,39970.896,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
774,15468.244,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7481,34014.256,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2929,2220.468,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6120,829.403,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
774,19107.544,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1274,1005.673,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
860,7041.236,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1518,23925.818,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2871,2612.9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6060,1435.589,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4134,6655.302,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
683,12158.835,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3313,2414.078,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6120,898.099,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7489,29008.624,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
14644,994.123,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6060,1311.385,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
16239,43065.02,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
60,88960.048,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
830,132.791,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1284,1004.896,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6232,29008.584,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
255,53248.264,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
120,39679.76,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6120,811.598,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6120,848.293,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
518,28928.664,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
222,29006.556,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3626,10243.876,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6120,898.45,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
120,37120.22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3313,2678.082,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
199,53247.94,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9180,847.721,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1279,1007.114,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3313,2301.92,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
854,7061.699,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
120,37887.852,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2863,3361.089,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2961,2574.362,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3436,6654.811,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
120,39920.08,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
774,43187.568,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
18965,58136.44,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3313,2182.574,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
156,50050.768,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
10418,4935.78,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
788,129.21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
120,101.231,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
774,2055.897,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1280,1007.09,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1278,1006.641,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6120,910.397,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2957,5698.851,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
120,100.283,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1280,1003.901,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
120,100.225,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
498,59012.348,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
552,59126.848,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
148,55179.48,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
765,133.027,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2937,2222.282,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6120,880.724,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3313,2558.311,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1364,1024.193,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1184,17710.112,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6120,868.394,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6060,1481.806,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
180,24063.932,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6120,923.858,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6060,941.971,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6120,891.611,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
