SrcBytes,SIntPktMax,Proto_arp,Proto_icmp,Proto_ipv6-icmp,Proto_tcp,Proto_udp,State_CLO,State_CON,State_ECO,State_FIN,State_INT,State_NRS,State_REQ,State_RST,State_TST,State_URH,State_URHPRO,label
9120,908.803,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
6120,811.464,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
735,30030.772,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
6120,808.257,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
774,15340.91,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1
85,0.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,2
85,96921.792,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,2
6120,911.84,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
242,53247.968,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
7735,198.338,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,0
2473,22695.542,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,2
519,9999.394,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0
1264,203.628,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
666,15234.606,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2
6120,802.003,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
167,49720.864,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,2
774,27596.176,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1
828,103.309,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
120,1.081,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,3
1282,1003.907,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1
6120,901.194,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
5429,2982.445,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,0
2887,2819.973,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1
6120,831.699,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
18659,778.778,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0
9974,17209.502,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0
